MaNV,HoTen,SoNha,Duong,Quan,ThanhPho,NgaySinh,Phai,BoPhan,ChiNhanh,Luong,DangLamViec
00211,Triệu Tường Lâm,885,Côn Đảo,Quận 6,Hà Nội,17/01/1989,Nam,3,14,28972411,0
00212,Bế Hữu Thọ,730,Hàm Thuận Nam,Hà Đông,Hồ Chí Minh,29/11/1973,Nam,1,13,27410743,1
00213,Tăng Thanh Minh,725C,Bạch Đằng,Hải Châu,Hà Nội,09/09/1972,Nữ,5,6,18061579,0
00214,Phan Nhật Quang,68,Độc Lập,Hải Châu,Đà Nẵng,26/10/1966,Nữ,1,7,24591938,1
00215,Viên Khải Tuấn,284,Nguyễn Huệ,Hai Bà Trưng,Hồ Chí Minh,01/12/1984,Nam,2,9,7069575,0
00216,Vương Xuân Khoa,944C,Phùng Hưng,Hai Bà Trưng,Hồ Chí Minh,20/08/1987,Nam,4,11,27821347,0
00217,Hồ Ðăng Minh,574A,Điện Biên Phủ,Thanh Xuân,Hồ Chí Minh,12/04/1967,Nam,3,6,8764235,0
00218,Lê Sỹ Phú,979B,Đào,Quận 6,Đà Nẵng,31/01/1996,Nam,5,11,16601255,1
00219,Y Diễm Hương,543A,Trường Sa,Quận 2,Đà Nẵng,20/12/1984,Nữ,2,12,25234944,1
00220,Nông An Khang,177B,Thanh Niên,Tây Hồ,Hà Nội,29/03/1985,Nữ,4,3,28798233,1
00221,Sầm Tố Uyên,813D,Hoàng Văn Thụ,Quận 5,Đà Nẵng,27/10/1990,Nữ,2,13,11841409,1
00222,Bồ Ðức Quyền,659,Trần Quang Diệu,Quận 10,Hồ Chí Minh,01/06/1993,Nam,4,2,26106063,1
00223,Đoàn Thành Lợi,740,Trần Hưng Đạo,Thanh Xuân,Hà Nội,17/02/2007,Nữ,5,1,19978324,0
00224,Phan Việt Tiến,302D,Lê Thánh Tôn,Tân Bình,Đà Nẵng,30/08/1973,Nữ,1,5,19527380,1
00225,Vừ Giang Thiên,258,Hồ Chí Minh,Hải Châu,Hà Nội,20/12/1998,Nữ,2,9,25503947,0
00226,Pá Quang Thuận,591C,Anh Đào,Sơn Trà,Hà Nội,18/02/1984,Nữ,3,14,16965617,0
00227,Tạ Bảo Hiển,53,Chiến Thắng,Quận 10,Hà Nội,06/08/1976,Nữ,5,5,22134073,1
00228,Trịnh Gia Thịnh,103,Duy Tân,Bình Tân,Hà Nội,21/01/1975,Nữ,5,10,28925004,0
00229,Thạch Việt Khôi,207,Nguyễn Hồng Đào,Nam Từ Liêm,Hồ Chí Minh,23/09/2009,Nam,2,13,14280659,0
00230,Khổng Bạch Trà,796,Hồ Xuân Hương,Quận 4,Hồ Chí Minh,13/05/1974,Nữ,3,13,16728136,0
00231,La Trọng Khánh,802C,Tăng Bạt Hổ,Quận 2,Đà Nẵng,13/12/1978,Nam,5,14,27521241,1
00232,Hạ Minh Huấn,664,Phan Xích Long,Tân Bình,Hà Nội,04/10/1995,Nữ,2,4,9562756,1
00233,Cao Thuận Phương,519B,Phan Bội Châu,Tây Hồ,Đà Nẵng,25/09/2007,Nam,2,2,25026106,1
00234,Y Hải Uyên,784,Bưởi,Quận 4,Hồ Chí Minh,20/02/1965,Nữ,4,10,10425337,1
00235,Hoàng Hiểu Lam,398,Huỳnh Thúc Kháng,Thanh Khê,Hà Nội,19/08/1990,Nam,1,2,12415163,1
00236,Viên Hải Dương,81,Lang Biang,Quận 10,Đà Nẵng,14/04/1997,Nam,1,10,25195034,1
00237,Từ Bá Phước,47C,Hoàng Diệu,Ba Đình,Hà Nội,18/04/1972,Nữ,1,14,26265645,1
00238,Hàn Ngọc Hải,996B,Phan Xích Long,Quận 7,Đà Nẵng,20/01/1979,Nữ,5,12,27886949,1
00239,Cao Công Lập,324D,Phạm Ngũ Lão,Quận 6,Đà Nẵng,13/05/2001,Nữ,1,4,19163362,0
00240,Đoàn Thắng Cảnh,414,Bạch Mai,Ba Đình,Hồ Chí Minh,17/04/1985,Nữ,3,3,20393662,1
00241,Xà Hữu Ðạt,824,Cách Mạng Tháng Tám,Quận 1,Đà Nẵng,08/06/1969,Nam,3,14,21050193,0
00242,Ngô Nam Dương,999D,Cửu Long,Thanh Khê,Hà Nội,17/04/1997,Nữ,3,6,28232937,0
00243,Cái Minh Dân,778C,Trần Hưng Đạo,Nam Từ Liêm,Hà Nội,07/07/1998,Nữ,2,10,13000257,0
00244,Mạc Quang Trung,569,Quang Trung,Cẩm Lệ,Đà Nẵng,25/11/1977,Nam,5,1,25733259,0
00245,Âu Việt Hải,448D,Nguyễn Thiện Thuật,Thanh Khê,Hà Nội,23/11/1996,Nam,4,6,18448058,1
00246,Hầu Ý Bình,656,Trường Sa,Long Biên,Hà Nội,12/11/1982,Nữ,2,3,26201628,1
00247,Hàn Bích Lam,709B,Yersin,Bình Tân,Hà Nội,10/07/1986,Nữ,2,1,25794871,0
00248,Sa Bình Ðạt,818B,Hàm Thuận Nam,Hoàng Mai,Hà Nội,11/08/2003,Nam,3,15,15676405,0
00249,Thạch Bình Quân,497D,Ngô Gia Tự,Quận 10,Đà Nẵng,19/01/1989,Nữ,5,10,18525939,1
00250,Đinh Hữu Từ,784B,Tăng Bạt Hổ,Thanh Xuân,Hà Nội,25/10/1992,Nam,2,7,13066088,1
00251,Thái Thanh Hải,820,Trần Bình Trọng,Sơn Trà,Hồ Chí Minh,12/09/1968,Nữ,5,9,8020148,1
00252,Khảm Hạ Phương,640A,Vú Sữa,Liên Chiểu,Hà Nội,06/01/1974,Nam,4,14,10877559,1
00253,Tiêu Anh Khải,625,Pasteur,Quận 7,Hà Nội,20/10/1967,Nam,1,12,19505824,1
00254,Lương Hoàn Châu,844D,Xoài,Quận 12,Hồ Chí Minh,30/04/1976,Nữ,3,1,12293435,1
00255,Triệu Xuân Vân,592A,Sấu,Quận 1,Đà Nẵng,09/08/1996,Nam,1,8,19033011,1
00256,Mai Tuấn Châu,310,Châu Văn Liêm,Liên Chiểu,Đà Nẵng,22/03/1991,Nam,2,7,20766681,1
00257,Hoàng Ðông Sơn,254,Xà Cừ,Thanh Khê,Hà Nội,04/12/1983,Nam,3,5,8327384,0
00258,Đỗ Duy Kính,686B,Pasteur,Quận 12,Đà Nẵng,15/11/2007,Nam,3,3,19963255,0
00259,Ngô Hữu Nghị,584D,Hồng,Quận 1,Hà Nội,09/11/1974,Nam,1,8,26334286,1
00260,Nghiêm Bảo Anh,497D,Hai Bà Trưng,Tân Bình,Đà Nẵng,07/01/2006,Nam,1,13,21318922,0
00261,Pá Anh Quốc,349,Ngô Quyền,Hải Châu,Hà Nội,12/05/1982,Nam,2,5,26835128,1
00262,Vi Đài Trang,135,Nam Kỳ Khởi Nghĩa,Cầu Giấy,Đà Nẵng,29/12/1992,Nữ,2,1,15668937,0
00263,Hàn Quốc Mạnh,439,Phan Xích Long,Tân Bình,Đà Nẵng,24/09/1988,Nam,4,1,18470377,0
00264,Sa An Ninh,367,Giảng Võ,Hoàng Mai,Đà Nẵng,01/01/2005,Nữ,4,8,20071718,0
00265,Đàm Hải Yến,634,Thống Nhất,Bắc Từ Liêm,Đà Nẵng,11/01/1966,Nữ,3,8,9176747,1
00266,Phạm Phi Cường,681A,Phượng Vĩ,Quận 3,Đà Nẵng,18/08/2001,Nam,3,10,29965410,1
00267,Lô Bích Hà,63,Xà Cừ,Long Biên,Hồ Chí Minh,09/02/1971,Nam,4,3,20446745,0
00268,Quách Cẩm Ly,396,Âu Cơ,Hoàng Mai,Đà Nẵng,28/06/1990,Nam,1,12,13857493,1
00269,Đèo Mạnh Cường,858,Trường Chinh,Sơn Trà,Đà Nẵng,04/02/1974,Nam,5,7,10628306,0
00270,Tô Việt Khải,986B,Hương Giang,Quận 12,Hồ Chí Minh,22/10/1981,Nam,4,10,18172534,0
00271,Nghiêm Gia Minh,629D,Đào,Quận 4,Hồ Chí Minh,01/04/1975,Nữ,3,13,29072743,0
00272,Chỉnh Công Hải,238A,Ngô Quyền,Quận 9,Hồ Chí Minh,14/03/2002,Nữ,2,5,18276602,1
00273,Diệp Thảo Mai,841,Sấu,Cẩm Lệ,Đà Nẵng,12/11/1972,Nữ,4,14,16891958,1
00274,Huỳnh Quốc Minh,3,Âu Cơ,Quận 9,Đà Nẵng,22/03/1994,Nam,4,13,23948611,1
00275,Nông Thảo Trang,64B,Nguyễn Đình Tứ,Quận 8,Đà Nẵng,06/08/2001,Nữ,5,15,22077377,1
00276,Đường Thượng Thuật,360B,Võ Thị Sáu,Hoàn Kiếm,Đà Nẵng,28/11/1971,Nam,2,11,15721465,1
00277,Từ Tất Hiếu,286D,Xà Cừ,Tân Phú,Hà Nội,04/01/1997,Nữ,3,4,14386945,0
00278,Đàm Quý Vĩnh,48D,Nguyễn Văn Linh,Bình Tân,Đà Nẵng,25/12/1974,Nam,4,10,14828024,0
00279,Kiều Hữu Toàn,426,Trần Bình Trọng,Nam Từ Liêm,Hồ Chí Minh,28/04/1983,Nam,2,5,19052713,0
00280,Ứng Hướng Bình,7,Giảng Võ,Hoàn Kiếm,Hà Nội,19/06/1968,Nữ,3,9,29838671,0
00281,Ứng Hạ Băng,325B,Cam,Hải Châu,Đà Nẵng,17/12/2000,Nam,5,3,8024008,1
00282,Từ Tường Lân,581,Hương Giang,Sơn Trà,Hà Nội,10/10/1981,Nam,4,10,19288414,1
00283,Tiêu Hữu Minh,909B,Nguyễn Công Trứ,Hai Bà Trưng,Đà Nẵng,15/03/1988,Nữ,3,15,18560086,0
00284,Lò Việt Tiến,375D,Cam,Ba Đình,Hà Nội,14/01/1995,Nam,1,10,16258978,1
00285,Ứng Lâm Viên,759B,Quốc Lộ 1A,Hà Đông,Hồ Chí Minh,21/03/1978,Nam,5,9,28183188,1
00286,Hạ Bảo Hiển,449,Cam,Liên Chiểu,Hà Nội,05/03/2003,Nam,2,5,27768127,1
00287,Ngụy Tịnh Như,169,Âu Cơ,Quận 9,Hồ Chí Minh,20/05/2000,Nữ,2,2,16550473,0
00288,Ninh Thường Xuân,779,Duy Tân,Bình Tân,Hà Nội,16/01/1973,Nữ,3,13,24295747,1
00289,Võ Thanh Mai,817A,Võ Thị Sáu,Ngũ Hành Sơn,Hồ Chí Minh,29/09/2006,Nam,2,15,24731255,0
00290,Lục Ngọc Khương,785D,Lan,Quận 9,Đà Nẵng,15/01/1969,Nữ,3,7,13200157,1
00291,Tiêu Minh Hòa,497B,Côn Đảo,Ba Đình,Hà Nội,02/11/1965,Nữ,3,12,18216283,0
00292,Diệp Thúy Nga,317C,Yersin,Quận 11,Hồ Chí Minh,15/09/1992,Nữ,4,6,8369936,0
00293,Cao Công Hoán,644,Xoài,Cầu Giấy,Đà Nẵng,28/06/1976,Nam,2,6,26152971,0
00294,Đồng Thanh Mai,825C,Nam Kỳ Khởi Nghĩa,Quận 4,Hồ Chí Minh,11/03/1988,Nữ,5,3,12240265,0
00295,Cảnh Bích Nhã,556C,Trường Chinh,Hải Châu,Hồ Chí Minh,26/01/2006,Nữ,3,15,12015761,1
00296,Vi Hạnh My,828,Hàm Thuận Nam,Sơn Trà,Đà Nẵng,16/06/1982,Nữ,4,10,17494232,0
00297,Trịnh Bích Nga,491A,Lý Tự Trọng,Quận 3,Hà Nội,02/07/1970,Nữ,4,4,18361534,1
00298,Thái Việt Huy,381B,Phượng Vĩ,Tây Hồ,Đà Nẵng,17/07/1990,Nam,5,12,22199830,0
00299,Lô Hải Duyên,348D,Phượng Vĩ,Hoàn Kiếm,Hồ Chí Minh,22/06/1970,Nữ,1,7,12783489,1
00300,Triệu Quyết Thắng,146,Hoàng Văn Thụ,Thanh Khê,Hà Nội,30/12/1983,Nam,1,5,11497902,0
